41.8 33229.3 109.66
42 33347.1 110.628
42.2 33464.4 111.599
42.4 33581.4 112.574
42.6 33698 113.552
42.8 33814.2 114.534
43 33930 115.519
43.2 34045.4 116.507
43.4 34160.4 117.499
43.6 34275.1 118.494
43.8 34389.3 119.492
44 34503.2 120.494
44.2 34616.6 121.499
44.4 34729.7 122.507
44.6 34842.4 123.518
44.8 34954.6 124.533
45 35066.5 125.551
45.2 35178 126.573
45.4 35289.1 127.597
45.6 35399.9 128.625
45.8 35510.2 129.656
46 35620.1 130.69
46.2 35729.7 131.728
46.4 35838.8 132.768
46.6 35947.6 133.812
46.8 36055.9 134.859
47 36163.9 135.909
47.2 36271.5 136.962
47.4 36378.7 138.019
47.6 36485.5 139.078
47.8 36591.9 140.141
48 36697.9 141.206
48.2 36803.5 142.275
48.4 36908.8 143.347
48.6 37013.6 144.422
48.8 37118 145.5
49 37222.1 146.58
49.2 37325.8 147.664
49.4 37429 148.751
49.6 37531.9 149.841
49.8 37634.4 150.934
50 37736.5 152.03
50.2 37838.2 153.129
50.4 37939.5 154.231
50.6 38040.4 155.336
50.8 38141 156.444
51 38241.1 157.554
51.2 38340.9 158.668
51.4 38440.2 159.784
51.6 38539.2 160.904
51.8 38637.7 162.026
52 38735.9 163.151
52.2 38833.7 164.279
52.4 38931.1 165.41
52.6 39028.1 166.543
52.8 39124.7 167.68
53 39220.9 168.819
53.2 39316.7 169.961
53.4 39412.2 171.106
53.6 39507.2 172.253
53.8 39601.9 173.404
54 39696.1 174.557
54.2 39790 175.712
54.4 39883.4 176.871
54.6 39976.5 178.032
54.8 40069.2 179.196
55 40161.5 180.363
55.2 40253.4 181.532
55.4 40344.9 182.704
55.6 40436 183.879
55.8 40526.8 185.056
56 40617.1 186.236
56.2 40707 187.418
56.4 40796.6 188.604
56.6 40885.7 189.791
56.8 40974.5 190.982
57 41062.9 192.175
57.2 41150.8 193.37
57.4 41238.4 194.568
57.6 41325.6 195.769
57.8 41412.4 196.972
58 41498.8 198.177
58.2 41584.8 199.385
58.4 41670.5 200.596
58.6 41755.7 201.809
58.8 41840.5 203.025
59 41925 204.243
59.2 42009 205.463
59.4 42092.7 206.686
59.6 42176 207.911
59.8 42258.8 209.139
60 42341.3 210.369
60.2 42423.4 211.602
60.4 42505.1 212.837
60.6 42586.4 214.074
60.8 42667.3 215.314
61 42747.8 216.556
61.2 42828 217.8
61.4 42907.7 219.047
61.6 42987 220.295
